,CEP,latitude,longitude,valor_total,contagem,bairro_dominante
234,41905530,-12.9777334,-38.501648,11501.43,14,NORDESTE
235,41612445,-12.9472655,-38.3745754,811.51,1,JD PLACAFORD
236,41345200,-12.9777334,-38.501648,2519.8599999999997,10,CAJAZEIRAS
237,40717430,-12.9777334,-38.501648,36570.29,33,PLATAFORMA
238,40387050,-12.9777334,-38.501648,53.91,1,BOA VISTA DE SAO CAETANO
239,41611220,-12.9777334,-38.501648,43355.22,14,NOVA BRASILIA DE ITAPUA
240,40717360,-12.9777334,-38.501648,18063.92,5,PLATAFORMA
241,40470630,-12.9777334,-38.501648,178465.85,91,LOBATO
242,40391408,-12.9293111,-38.4750692,3179.32,10,S CAETANO
243,40450211,-12.9777334,-38.501648,57501.07,39,URUGUAI
244,41130490,-12.9696498,-38.4592004,6769.44,11,PERNAMBUES
245,40283260,-12.9777334,-38.501648,11259.01,14,DANIEL LISBOA
246,41110490,-12.9736902,-38.4598827,9808.17,18,PERNAMBUES
247,41180790,-12.9543634,-38.4454652,42256.67,27,SABOEIRO
248,41480335,-12.9202918,-38.3702503,4160.22,2,MUSSURUNGA II
249,40230233,-12.9981388,-38.5034694,6487.620000000001,4,FEDERACAO
250,40285360,-12.9777334,-38.501648,42551.31,44,BROTAS
251,40393880,-12.9777334,-38.501648,13095.75,8,CAPELINHA
252,40255400,-12.9777334,-38.501648,8755.38,3,MATATU
253,41100360,-12.9777334,-38.501648,15600.0,9,PERNAMBUES
254,41750280,-12.9777334,-38.501648,16784.41,22,ARMACAO
255,41510842,-12.9066123,-38.3680976,1540.4,1,S CRISTOVAO
256,40810050,-12.9777334,-38.501648,4115.95,1,PARIPE
257,40352110,-12.9373191,-38.4810631,2671.46,5,FAZ GRANDE DO RETIRO
258,40320670,-12.9777334,-38.501648,14753.22,24,CAIXA D AGUA
259,41290610,-12.9030692,-38.4634843,26456.52,13,PIRAJA
260,41760050,-12.9777334,-38.501648,48534.61,26,COSTA AZUL
261,40713385,-12.8901915,-38.4865964,1167.71,1,ITACARANHA
262,41830000,-12.9777334,-38.501648,207170.7,42,PITUBA
263,40150350,-12.9777334,-38.501648,96072.98,24,GRACA
264,41385560,-12.9777334,-38.501648,6236.33,5,SETE DE ABRIL
265,40110150,-12.9777334,-38.501648,53299.340000000004,27,CANELA
266,41750100,-12.9859039,-38.4392137,489024.42000000004,21,ARMACAO
267,41215040,-12.9777334,-38.501648,2283.89,1,SUSSUARANA
268,41250575,-12.9351673,-38.428297,5524.18,10,S MARCOS
269,41305000,-12.8763591,-38.4401331,13785.95,22,VALERIA
270,40320710,-12.9611983,-38.4949614,43330.37,22,CAIXA D AGUA
271,40060017,-12.9829829,-38.5170981,7444.049999999999,11,DOIS DE JULHO
272,40300465,-12.9446659,-38.4776821,204019.07,9,BX DE QUINTAS
273,41250579,-12.9397787,-38.4248444,62564.89,104,S MARCOS
274,40370060,-12.9777334,-38.501648,48951.03,16,LIBERDADE
275,40730570,-12.9777334,-38.501648,52183.869999999995,12,FAZ COUTOS
276,41925400,-12.9777334,-38.501648,314.24,1,STA CRUZ
277,41336720,-12.9777334,-38.501648,388.96000000000004,4,CAJAZEIRAS VI
278,41815215,-12.9938539,-38.4738435,102849.15000000001,37,ITAIGARA
279,41510778,-12.9652616,-38.4805762,1125.72,5,S CRISTOVAO
280,41100420,-12.9777334,-38.501648,9040.720000000001,4,PERNAMBUES
281,40325141,-12.9777334,-38.501648,2963.61,9,LIBERDADE
282,41610730,-12.9777334,-38.501648,56526.479999999996,20,ITAPUA
283,41701080,-12.9777334,-38.501648,13065.5,4,ALPHAVILLE I
284,41310493,-12.8835661,-38.4306061,38360.67,36,AGUAS CLARAS
285,40279470,-12.9777334,-38.501648,1950.17,4,PRQ BELA VISTA
286,41680111,-12.9777334,-38.501648,75665.4,17,PATAMARES
287,40265040,-12.9777334,-38.501648,24040.94,21,STA TERESA
288,40450700,-12.9777334,-38.501648,3679.7,5,URUGUAI
289,40390740,-12.9777334,-38.501648,20340.61,31,S CAETANO
290,41100228,-12.9680746,-38.4564724,222.02,1,PERNAMBUES
291,41925130,-12.9777334,-38.501648,92.05,1,STA CRUZ
292,40230052,-12.9952808,-38.50902990000001,5198.04,2,FEDERACAO
293,40110010,-12.992797,-38.522598,333438.22000000003,56,CANELA
294,41390090,-12.9103516,-38.4377913,14828.66,15,VL CANARIA
295,41705280,-12.9777334,-38.501648,6171.32,12,BOCA DO RIO
296,41250110,-12.9313093,-38.4368455,901.6400000000001,4,S MARCOS
297,41940600,-12.9777334,-38.501648,2763.86,2,RIO VERMELHO
298,40800130,-12.9777334,-38.501648,7765.31,4,PARIPE
299,40243400,-12.9777334,-38.501648,6906.23,7,ENGENHO VELHO DE BROTAS
300,40255370,-12.9777334,-38.501648,162844.68,47,MATATU
301,40221225,-13.0065419,-38.495733,51175.71,18,ENGENHO VELHO DA FEDERACAO
302,41500110,-12.9123128,-38.3489218,81688.23999999999,18,S CRISTOVAO
303,41253100,-12.9254595,-38.441448,11620.98,9,S MARCOS
304,41185125,-12.9505324,-38.4631416,447.75,1,S GONCALO
305,40255265,-12.9708369,-38.492548,60665.600000000006,49,MATATU
306,41830380,-12.9777334,-38.501648,162018.7,77,PITUBA
307,41810425,-12.9878212,-38.4531387,163225.69,63,PITUBA
308,41820020,-12.9777334,-38.501648,180408.32,26,CAM DAS ARVORES
309,40226250,-12.9777334,-38.501648,1344.27,2,AT DAS POMBAS
310,41215350,-12.9777334,-38.501648,8829.18,2,SUSSUARANA
311,41510010,-12.9383624,-38.4973109,53994.78,30,S CRISTOVAO
312,40250130,-12.9777334,-38.501648,736.81,3,COSME DE FARIAS
313,41290805,-12.8926458,-38.4555004,227.2,1,PIRAJA
314,41181057,-12.9549838,-38.43613939999999,68621.5,55,CABULA VI
315,40470081,-12.9777334,-38.501648,1032.83,1,LOBATO
316,41110350,-12.9777334,-38.501648,2569.83,5,PERNAMBUES
317,40375160,-12.9777334,-38.501648,3060.84,5,LIBERDADE
318,40440520,-12.9777334,-38.501648,4869.22,15,CAM DE AREIA
319,41181025,-12.9542578,-38.4388987,15196.109999999999,17,CABULA VI
320,40295080,-13.0019455,-38.48442989999999,4526.34,2,HORTO FLORESTAL
321,41181385,-12.9524792,-38.4409287,760.44,1,CABULA VI
322,41615230,-12.9777334,-38.501648,5326.09,6,AT DO COQUEIRINHO
323,41235285,-12.9777334,-38.501648,4435.71,5,PAU DA LIMA
324,40300550,-12.9777334,-38.501648,4392.46,10,MACAUBAS
